"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Editační vazba","CISOB",43,"500011","Želechovice nad Dřevnicí","OKRES_NUTS",101,"40851","Zlín"
"CS","Editační vazba","CISOB",43,"500020","Petrov nad Desnou","OKRES_NUTS",101,"40819","Šumperk"
"CS","Editační vazba","CISOB",43,"500046","Libhošť","OKRES_NUTS",101,"40894","Nový Jičín"
"CS","Editační vazba","CISOB",43,"500062","Krhová","OKRES_NUTS",101,"40843","Vsetín"
"CS","Editační vazba","CISOB",43,"500071","Poličná","OKRES_NUTS",101,"40843","Vsetín"
"CS","Editační vazba","CISOB",43,"500101","Bražec","OKRES_NUTS",101,"40436","Karlovy Vary"
"CS","Editační vazba","CISOB",43,"500127","Doupovské Hradiště","OKRES_NUTS",101,"40436","Karlovy Vary"
"CS","Editační vazba","CISOB",43,"500135","Kozlov","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"500151","Luboměř pod Strážnou","OKRES_NUTS",101,"40801","Přerov"
"CS","Editační vazba","CISOB",43,"500160","Město Libavá","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"500194","Polná na Šumavě","OKRES_NUTS",101,"40291","Český Krumlov"
"CS","Editační vazba","CISOB",43,"500259","Veřovice","OKRES_NUTS",101,"40894","Nový Jičín"
"CS","Editační vazba","CISOB",43,"500291","Vřesina","OKRES_NUTS",101,"40916","Ostrava-město"
"CS","Editační vazba","CISOB",43,"500496","Olomouc","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"500526","Bělkovice-Lašťany","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"500623","Bílá Lhota","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"500801","Blatec","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"500852","Bohuňovice","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"500861","Bouzov","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"500879","Bystročice","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"501476","Dlouhá Loučka","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"501646","Dolany","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"501751","Drahanovice","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"501794","Dub nad Moravou","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"501841","Grygov","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"502146","Hlubočky","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"502235","Hněvotín","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"502405","Hnojice","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"502545","Horka nad Moravou","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"502839","Cholina","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"503142","Jívová","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"503304","Kožušany-Tážaly","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"503410","Žitovlice","OKRES_NUTS",101,"40231","Nymburk"
"CS","Editační vazba","CISOB",43,"503444","Litovel","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"503622","Luká","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"503657","Lutín","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"503738","Majetín","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"503916","Kostelec","OKRES_NUTS",101,"40410","Tachov"
"CS","Editační vazba","CISOB",43,"503941","Libavá","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"504246","Mladeč","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"504301","Dřenice","OKRES_NUTS",101,"40614","Chrudim"
"CS","Editační vazba","CISOB",43,"504441","Náklo","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"504505","Náměšť na Hané","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"504785","Paseka","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"504807","Lány","OKRES_NUTS",101,"40614","Chrudim"
"CS","Editační vazba","CISOB",43,"504921","Třibřichy","OKRES_NUTS",101,"40614","Chrudim"
"CS","Editační vazba","CISOB",43,"504955","Dvakačovice","OKRES_NUTS",101,"40614","Chrudim"
"CS","Editační vazba","CISOB",43,"505005","Bítovany","OKRES_NUTS",101,"40614","Chrudim"
"CS","Editační vazba","CISOB",43,"505013","Příkazy","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505030","Dolní Bezděkov","OKRES_NUTS",101,"40614","Chrudim"
"CS","Editační vazba","CISOB",43,"505081","Senice na Hané","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505099","Červená Hora","OKRES_NUTS",101,"40584","Náchod"
"CS","Editační vazba","CISOB",43,"505111","Slatinice","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505145","Březová nad Svitavou","OKRES_NUTS",101,"40631","Svitavy"
"CS","Editační vazba","CISOB",43,"505161","Štěpánov","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505188","Šternberk","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505218","Šumvald","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505269","Těšetice","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505293","Troubelice","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505366","Tršice","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505391","Bělá u Jevíčka","OKRES_NUTS",101,"40631","Svitavy"
"CS","Editační vazba","CISOB",43,"505501","Újezd","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505528","Jenčice","OKRES_NUTS",101,"40479","Litoměřice"
"CS","Editační vazba","CISOB",43,"505587","Uničov","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505609","Velká Bystřice","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505650","Velký Týnec","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505668","Velký Újezd","OKRES_NUTS",101,"40789","Olomouc"
"CS","Editační vazba","CISOB",43,"505781","Zápy","OKRES_NUTS",101,"40240","Praha-východ"
