"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","cznuts","kod_ruian","zkrkraj"
"CS","KRAJ_NUTS",100,"3000","Extra-Regio","Extra-Regio","2004-05-01","9999-09-09","CZZZZ",,
"CS","KRAJ_NUTS",100,"3018","Hl. m. Praha","Hlavní město Praha","2001-03-01","9999-09-09","CZ010","19","PHA"
"CS","KRAJ_NUTS",100,"3026","Středočeský kraj","Středočeský kraj","2001-03-01","9999-09-09","CZ020","27","STC"
"CS","KRAJ_NUTS",100,"3034","Jihočeský kraj","Jihočeský kraj","2001-03-01","9999-09-09","CZ031","35","JHC"
"CS","KRAJ_NUTS",100,"3042","Plzeňský kraj","Plzeňský kraj","2001-03-01","9999-09-09","CZ032","43","PLK"
"CS","KRAJ_NUTS",100,"3051","Karlovarský kraj","Karlovarský kraj","2001-03-01","9999-09-09","CZ041","51","KVK"
"CS","KRAJ_NUTS",100,"3069","Ústecký kraj","Ústecký kraj","2001-03-01","9999-09-09","CZ042","60","ULK"
"CS","KRAJ_NUTS",100,"3077","Liberecký kraj","Liberecký kraj","2001-03-01","9999-09-09","CZ051","78","LBK"
"CS","KRAJ_NUTS",100,"3085","Královéhradecký kraj","Královéhradecký kraj","2001-03-01","9999-09-09","CZ052","86","HKK"
"CS","KRAJ_NUTS",100,"3093","Pardubický kraj","Pardubický kraj","2001-03-01","9999-09-09","CZ053","94","PAK"
"CS","KRAJ_NUTS",100,"3107","Kraj Vysočina","Kraj Vysočina","2001-03-01","9999-09-09","CZ063","108","VYS"
"CS","KRAJ_NUTS",100,"3115","Jihomoravský kraj","Jihomoravský kraj","2001-03-01","9999-09-09","CZ064","116","JHM"
"CS","KRAJ_NUTS",100,"3123","Olomoucký kraj","Olomoucký kraj","2001-03-01","9999-09-09","CZ071","124","OLK"
"CS","KRAJ_NUTS",100,"3131","Zlínský kraj","Zlínský kraj","2001-03-01","9999-09-09","CZ072","141","ZLK"
"CS","KRAJ_NUTS",100,"3140","Moravskoslezský kraj","Moravskoslezský kraj","2001-03-01","9999-09-09","CZ080","132","MSK"
