"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Editační vazba","CISOBE",42,"000019","Abertamy","CISOB",43,"554979","Abertamy"
"CS","Editační vazba","CISOBE",42,"000027","Hřebečná","CISOB",43,"554979","Abertamy"
"CS","Editační vazba","CISOBE",42,"000035","Adamov","CISOB",43,"535826","Adamov"
"CS","Editační vazba","CISOBE",42,"000051","Dolní Adršpach","CISOB",43,"547786","Adršpach"
"CS","Editační vazba","CISOBE",42,"000060","Horní Adršpach","CISOB",43,"547786","Adršpach"
"CS","Editační vazba","CISOBE",42,"000078","Albeř","CISOB",43,"546798","Nová Bystřice"
"CS","Editační vazba","CISOBE",42,"000086","Albrechtice","CISOB",43,"551015","Drahonice"
"CS","Editační vazba","CISOBE",42,"000108","Jezeří","CISOB",43,"567175","Horní Jiřetín"
"CS","Editační vazba","CISOBE",42,"000116","Albrechtice","CISOB",43,"547981","Albrechtice"
"CS","Editační vazba","CISOBE",42,"000124","Albrechtice","CISOB",43,"598925","Albrechtice"
"CS","Editační vazba","CISOBE",42,"000175","Albrechtice nad Orlicí","CISOB",43,"576077","Albrechtice nad Orlicí"
"CS","Editační vazba","CISOBE",42,"000191","Nová Ves","CISOB",43,"576549","Nová Ves"
"CS","Editační vazba","CISOBE",42,"000205","Štěpánovsko","CISOB",43,"576859","Týniště nad Orlicí"
"CS","Editační vazba","CISOBE",42,"000221","Albrechtice nad Vltavou","CISOB",43,"549258","Albrechtice nad Vltavou"
"CS","Editační vazba","CISOBE",42,"000230","Hladná","CISOB",43,"549258","Albrechtice nad Vltavou"
"CS","Editační vazba","CISOBE",42,"000264","Údraž","CISOB",43,"549258","Albrechtice nad Vltavou"
"CS","Editační vazba","CISOBE",42,"000272","Újezd","CISOB",43,"549258","Albrechtice nad Vltavou"
"CS","Editační vazba","CISOBE",42,"000281","Albrechtice v Jizerských horách","CISOB",43,"563528","Albrechtice v Jizerských horách"
"CS","Editační vazba","CISOBE",42,"000299","Mariánská Hora","CISOB",43,"563528","Albrechtice v Jizerských horách"
"CS","Editační vazba","CISOBE",42,"000302","Albrechtičky","CISOB",43,"568741","Albrechtičky"
"CS","Editační vazba","CISOBE",42,"000311","Nová Horka","CISOB",43,"599921","Studénka"
"CS","Editační vazba","CISOBE",42,"000329","Andělka","CISOB",43,"564494","Višňová"
"CS","Editační vazba","CISOBE",42,"000337","Filipovka","CISOB",43,"564494","Višňová"
"CS","Editační vazba","CISOBE",42,"000345","Loučná","CISOB",43,"564494","Višňová"
"CS","Editační vazba","CISOBE",42,"000353","Saň","CISOB",43,"564494","Višňová"
"CS","Editační vazba","CISOBE",42,"000361","Andělská Hora","CISOB",43,"538001","Andělská Hora"
"CS","Editační vazba","CISOBE",42,"000370","Anenská Studánka","CISOB",43,"573426","Anenská Studánka"
"CS","Editační vazba","CISOBE",42,"000388","Helvíkov","CISOB",43,"573426","Anenská Studánka"
"CS","Editační vazba","CISOBE",42,"000396","Antošovice","CISOB",43,"554821","Ostrava"
"CS","Editační vazba","CISOBE",42,"000400","Archlebov","CISOB",43,"586030","Archlebov"
"CS","Editační vazba","CISOBE",42,"000418","Arneštovice","CISOB",43,"509388","Arneštovice"
"CS","Editační vazba","CISOBE",42,"000426","Arnolec","CISOB",43,"586854","Arnolec"
"CS","Editační vazba","CISOBE",42,"000434","Arnoltice","CISOB",43,"562343","Arnoltice"
"CS","Editační vazba","CISOBE",42,"000442","Bynovec","CISOB",43,"544647","Bynovec"
"CS","Editační vazba","CISOBE",42,"000451","Labská Stráň","CISOB",43,"544701","Labská Stráň"
"CS","Editační vazba","CISOBE",42,"000469","Arnoštovice","CISOB",43,"529702","Heřmaničky"
"CS","Editační vazba","CISOBE",42,"000477","Durdice","CISOB",43,"529702","Heřmaničky"
"CS","Editační vazba","CISOBE",42,"000591","Babí","CISOB",43,"579025","Trutnov"
"CS","Editační vazba","CISOBE",42,"000604","Babice","CISOB",43,"538043","Babice"
"CS","Editační vazba","CISOBE",42,"000612","Babice","CISOB",43,"569828","Babice"
"CS","Editační vazba","CISOBE",42,"000639","Babice","CISOB",43,"590274","Babice"
"CS","Editační vazba","CISOBE",42,"000647","Bolíkovice","CISOB",43,"590274","Babice"
"CS","Editační vazba","CISOBE",42,"000655","Babice","CISOB",43,"592013","Babice"
"CS","Editační vazba","CISOBE",42,"000663","Babice","CISOB",43,"552356","Babice"
"CS","Editační vazba","CISOBE",42,"000671","Krakořice","CISOB",43,"505188","Šternberk"
"CS","Editační vazba","CISOBE",42,"000680","Babice","CISOB",43,"542989","Kelč"
"CS","Editační vazba","CISOBE",42,"000698","Babice nad Svitavou","CISOB",43,"582794","Babice nad Svitavou"
"CS","Editační vazba","CISOBE",42,"000701","Babice u Rosic","CISOB",43,"582808","Babice u Rosic"
"CS","Editační vazba","CISOBE",42,"000710","Babylon","CISOB",43,"553433","Babylon"
"CS","Editační vazba","CISOBE",42,"000728","Bácovice","CISOB",43,"561118","Bácovice"
"CS","Editační vazba","CISOBE",42,"000736","Milotičky","CISOB",43,"547778","Červená Řečice"
"CS","Editační vazba","CISOBE",42,"000744","Bačetín","CISOB",43,"576085","Bačetín"
"CS","Editační vazba","CISOBE",42,"000752","Sudín","CISOB",43,"576085","Bačetín"
"CS","Editační vazba","CISOBE",42,"000761","Bačice","CISOB",43,"590282","Bačice"
"CS","Editační vazba","CISOBE",42,"000779","Udeřice","CISOB",43,"590282","Bačice"
"CS","Editační vazba","CISOBE",42,"000787","Bačkov","CISOB",43,"546194","Bačkov"
"CS","Editační vazba","CISOBE",42,"000795","Lubno","CISOB",43,"568651","Habry"
"CS","Editační vazba","CISOBE",42,"000809","Zboží","CISOB",43,"568651","Habry"
"CS","Editační vazba","CISOBE",42,"000817","Bačkovice","CISOB",43,"544833","Bačkovice"
"CS","Editační vazba","CISOBE",42,"000825","Bačov","CISOB",43,"581372","Boskovice"
"CS","Editační vazba","CISOBE",42,"000841","Baliny","CISOB",43,"595217","Baliny"
"CS","Editační vazba","CISOBE",42,"000850","Banín","CISOB",43,"572560","Banín"
