zuj;id_mesta_obce
500011;81404
500020;81405
500046;8268
500062;81406
500071;81407
500101;81408
500127;81409
500135;81410
500151;81411
500160;81412
500194;81413
500259;18036
500291;18668
500496;11050
500526;197
500623;395
500801;520
500852;643
500861;869
500879;1667
501476;2644
501646;2846
501751;3147
501794;3327
501841;3626
502146;3952
502235;4015
502405;4016
502545;4206
502839;5235
503142;6140
503304;7210
503410;19728
503444;8590
503622;8868
503657;8912
503738;8992
503916;7009
503941;9342
504246;9685
504301;3283
504441;10140
504505;10154
504785;11816
504807;1658
504921;3285
504955;17761
505005;489
505013;13600
505030;2869
505081;14745
505099;19656
505111;14981
505145;1472
505161;16343
505188;16352
505218;16451
505269;16670
505293;16866
505366;16887
505391;179
505501;17375
505528;5825
505587;17450
505609;17828
505650;17978
505668;17979
505781;922
505862;19662
505927;11156
506192;652
506214;698
506320;1310
506451;1471
506460;1550
506486;886
506494;10616
506621;2372
506664;14854
506699;13894
506702;2863
506711;2954
506729;1741
506737;5489
506753;3649
506761;17470
506770;17471
507016;3971
507091;10818
507105;4014
507113;4078
507181;13405
507237;6881
507261;4660
507270;4681
507334;5487
507377;5648
507423;5710
507458;7070
507504;6734
507547;9494
507580;7423
507610;3102
507628;12169
507644;12170
507652;12171
507695;12172
507717;11872
507733;1405
507784;13975
507920;8601
507971;8841
508004;14118
508128;9189
508144;9277
508152;15810
508357;7055
508373;9823
508501;8945
508683;12563
509078;12156
509108;7054
509116;2106
509141;3392
509191;1746
509388;41
509418;817
509574;11011
509612;11648
509621;19809
509647;12108
509736;13683
509752;931
509841;13882
510068;1878
510131;14894
510289;15028
510297;15083
510343;15543
510378;15875
510432;16247
510483;16339
510491;16388
510556;10678
510645;15121
510882;17859
510891;17877
510939;17882
510980;10888
511021;18299
511081;14680
511161;18662
511242;18148
511307;16947
511382;13471
511412;10801
511587;8853
511633;5629
511935;1599
511951;2960
511986;4339
512028;12094
512176;4735
512184;9354
512192;4278
512231;200
512281;260
512401;383
512532;672
512745;16678
512800;1275
512826;1573
512869;15582
512877;1720
512893;10638
512907;7856
512923;5114
512974;161
512982;1785
512991;3251
513032;10418
513041;8092
513059;1933
513067;2048
513075;4020
513105;2718
513113;9055
513130;2830
513148;2918
513164;19495
513181;10919
513199;3032
513202;19061
513211;3084
513229;3302
513237;10921
513261;12139
513270;13876
513288;16716
513369;17137
513393;13627
513415;13968
513423;13970
513431;5299
513458;18102
513482;18843
513491;4357
513504;2639
513512;19270
513521;8043
513539;17849
513547;13583
513555;7104
513571;10852
513580;4923
513628;6646
513636;4659
513644;19301
513661;10549
513695;2577
513709;2579
513717;13292
513733;4669
513750;4768
513768;4998
513873;6034
513890;14807
514047;6645
514055;6789
514152;6797
514161;8864
514195;19559
514276;9526
514446;7939
514471;7941
514497;8100
514527;8141
514705;8426
514772;8463
514802;8503
515191;8629
515329;9093
515418;9459
515477;9516
515787;10283
515825;10999
516201;11154
516350;11204
516619;11301
516635;11810
516686;11812
516694;11858
516864;12431
516899;12548
516911;12553
517101;12646
517151;13328
517208;13394
517224;13516
517275;13775
517321;13802
517437;13805
517445;13863
517534;13881
517569;13885
517585;13905
517607;14089
517615;14195
517666;14558
517747;14802
517836;15202
517844;15158
517887;15393
517909;15796
518026;15979
519031;16628
519146;16801
519651;16868
520047;17124
520306;17483
520420;18086
521531;18708
522775;19097
523453;19427
523640;19580
523704;16426
523917;176
524891;282
525227;401
525588;581
525804;622
525880;653
525979;671
526169;944
526622;9410
528196;11692
529303;219
529451;1677
529478;1827
529486;1888
529516;1966
529524;19201
529532;2115
529541;2315
529559;19204
529567;2433
529575;19631
529583;19633
529591;14666
529605;14084
529613;6150
529621;2626
529630;7060
529648;2933
529656;14749
529664;18528
529672;360
529681;7120
529699;17835
529702;3858
529711;3196
529729;8401
529737;4928
529745;5017
529753;10529
529761;10534
529770;5142
529788;5188
529796;5202
529818;5355
529826;1938
529834;9377
529842;5670
529851;5783
529869;12629
529877;932
529885;933
529893;15334
529907;6470
529915;17611
529923;19468
529931;6897
529940;7185
529958;7436
529966;1640
529974;7451
529982;5149
529991;7554
530000;7641
530018;1389
530026;7733
530034;15574
530042;1543
530051;8038
530069;8267
530085;1613
530093;8649
530107;8737
530115;9197
530123;15963
530131;2681
530140;10446
530158;9383
530166;9485
530174;9585
530182;10450
530191;9752
530204;10000
530212;10099
530221;3869
530239;439
530247;12653
530263;10377
530271;14676
530280;18807
530298;10412
530301;10424
530310;10428
530328;2058
530336;12143
530344;10986
530352;11629
530361;6423
530379;3177
530387;15064
530395;5720
530409;11970
530417;3111
530425;9199
530433;7741
530441;12603
530450;12627
530468;2666
530476;13303
530484;5858
530492;13519
530506;9579
530514;13643
530522;13726
530531;13854
530549;13957
530557;7182
530565;19636
530573;14682
530581;1962
530590;8308
530603;19088
530611;15098
530620;13507
530638;15153
530646;12344
530654;9578
530662;6002
530671;13647
530689;15707
530697;17279
530701;15762
530719;15846
530727;993
530735;15438
530743;16496
530751;16529
530760;16642
530778;16702
530786;2171
530794;14479
530808;276
530816;16825
530824;17779
530832;407
530841;17239
530859;410
530867;17810
530875;411
530883;18354
530891;18448
530905;18504
530913;18519
530921;18535
530930;2030
530948;18648
530956;2088
530964;2084
530972;16972
530981;1777
530999;7445
531006;8843
531014;7446
531022;19257
531031;19312
531049;19387
531057;286
531065;15248
531073;336
531081;1287
531090;1460
531103;1513
531111;264
531120;1731
531138;1761
531146;3153
531154;3260
531162;3446
531171;3890
531189;4537
531197;10605
531201;4588
531219;4893
531227;4925
531235;5028
531243;5047
531251;5057
531260;11943
531278;12021
531286;12638
531294;5544
531308;6126
531316;6371
531324;6864
531332;6903
531341;12639
531359;12640
531367;17147
531375;7686
531383;17148
531391;15872
531405;18933
531413;4642
531421;16215
531430;19576
531448;8320
531456;8526
531464;8632
531472;8646
531481;19577
531499;1718
531502;1719
531511;5537
531529;9301
531537;9386
531545;9930
531553;6905
531561;17126
531570;2771
531588;10420
531596;10468
531600;10740
531618;10806
531626;11019
531634;11284
531642;11332
531651;6302
531669;11671
531677;8626
531685;12403
531693;13294
531707;10480
531715;14306
531723;14331
531731;15617
531740;14901
531758;15298
531766;15531
531774;15614
531782;15924
531791;15996
531804;16026
531812;16079
531821;16482
531839;16691
531847;16760
531855;16762
531863;11710
531871;5934
531880;16897
531898;8132
531901;17357
531910;17959
531928;4576
531936;18168
531944;18571
531952;18729
531961;18844
531979;18959
531987;19634
531995;19038
532002;19077
532011;19244
532029;19571
532037;5396
532045;5127
532053;6506
532061;17595
532070;199
532088;320
532096;780
532100;559
532118;928
532126;953
532134;5913
532142;961
532151;3162
532169;1639
532177;1660
532185;1812
532193;2435
532207;2063
532215;2120
532223;2819
532231;15071
532258;8533
532266;18704
532274;3271
532282;3292
532291;3306
532304;16965
532312;4237
532321;4511
532339;4557
532347;4592
532355;4725
532363;4803
532371;4888
532380;551
532398;5443
532401;5764
532410;5810
532428;5824
532436;15137
532444;6167
532452;6284
532461;6642
532479;6679
532487;6718
532495;6804
532509;16242
532517;7837
532525;7871
532533;7961
532541;16772
532550;13991
532568;265
532576;8358
532584;8370
532592;16714
532606;5270
532614;11630
532622;8994
532631;9052
532649;12580
532657;9096
532665;10419
532673;11103
532681;11698
532690;1800
532711;11835
532720;12054
532738;12175
532746;2542
532754;12398
532762;12686
532771;13455
532789;13663
532797;14578
532801;14629
532819;14936
532827;14962
532835;15084
532843;3383
532851;15544
532860;15556
532878;5116
532886;12363
532894;1630
532908;16080
532916;16278
532924;1582
532932;10378
532941;14575
532959;17000
532967;17003
532975;17053
532983;17131
532991;17324
533009;17350
533017;17449
533025;17830
533033;17937
533041;17996
533050;18227
533068;18556
533076;11850
533084;6531
533092;19046
533106;16896
533114;19333
533122;19410
533149;19694
533157;19756
533165;6815
533173;91
533181;129
533190;202
533203;7294
533211;1493
533220;1495
533238;1644
533246;1754
533254;2008
533262;2094
533271;2273
533289;2780
533297;2915
533301;3120
533319;9041
533327;4321
533335;8130
533343;5349
533351;5400
533360;5901
533378;5931
533386;6664
533394;6895
533408;6972
533416;7016
533424;7121
533432;7188
533441;7235
533459;7522
533467;7551
533475;8198
533483;8309
533491;1992
533505;8686
533513;9118
533521;10182
533530;10571
533548;10810
533556;10920
533564;11018
533572;11709
533581;12138
533599;12517
533602;10335
533611;13629
533629;13778
533637;13874
533645;13877
533653;13971
