IČO;Název;Okres
00064581;Hlavní město Praha;Hlavní město Praha
00254398;Město Abertamy;Karlovy Vary
00279889;Město Adamov;Blansko
00575976;Město Andělská Hora;Bruntál
00253901;Město Aš;Cheb
00237418;Město Bakov nad Jizerou;Mladá Boleslav
00250945;Město Bavorov;Strakonice
00254410;Město Bečov nad Teplou;Karlovy Vary
00252069;Město Bechyně;Tábor
00253235;Město Bělá nad Radbuzou;Domažlice
00237434;Město Bělá pod Bezdězem;Mladá Boleslav
00250953;Město Bělčice;Strakonice
00237442;Město Benátky nad Jizerou;Mladá Boleslav
00231401;Město Benešov;Benešov
00261181;Město Benešov nad Ploučnicí;Děčín
00233129;Město Beroun;Beroun
00259705;Město Bezdružice;Tachov
00266230;Město Bílina;Teplice
00297755;Město Bílovec;Nový Jičín
00279943;Město Blansko;Blansko
00250996;Město Blatná;Strakonice
00256455;Město Blovice;Plzeň - jih
00264784;Město Blšany;Louny
00297569;Město Bohumín;Karviná
00263362;Město Bohušovice nad Ohří;Litoměřice
00254444;Město Bochov;Karlovy Vary
00290807;Město Bojkovice;Uherské Hradiště
00259713;Město Bor;Tachov
00274739;Město Borohrádek;Rychnov nad Kněžnou
00244686;Město Borovany;České Budějovice
00279978;Město Boskovice;Blansko
00479705;Město Boží Dar;Karlovy Vary
00240079;Město Brandýs nad Labem-Stará Boleslav;Praha - východ
00278564;Město Brandýs nad Orlicí;Ústí nad Orlicí
00272523;Město Broumov;Náchod
00285668;Město Brtnice;Jihlava
00283819;Město Brumov - Bylnice;Zlín
00295892;Město Bruntál;Bruntál
00296538;Město Brušperk;Frýdek - Místek
00283061;Město Břeclav;Břeclav
00242004;Město Březnice;Příbram
00259250;Město Březová;Sokolov
00483869;Město Březová nad Svitavou;Svitavy
00295906;Město Břidličná;Bruntál
00291676;Město Bučovice;Vyškov
00299898;Město Budišov nad Budišovkou;Opava
00263427;Město Budyně nad Ohří;Litoměřice
00234214;Město Buštěhrad;Kladno
00276529;Město Bystré;Svitavy
00231525;Město Bystřice;Benešov
00294136;Město Bystřice nad Pernštejnem;Žďár nad Sázavou
00287113;Město Bystřice pod Hostýnem;Kroměříž
00284807;Město Bzenec;Hodonín
00260410;Město Cvikov;Česká Lípa
00236021;Město Čáslav;Kutná Hora
00240117;Město Čelákovice;Praha - východ
00241121;Město Černošice;Praha - západ
00259772;Město Černošín;Tachov
00248037;Město Černovice;Pelhřimov
00248045;Město Červená Řečice;Pelhřimov
00272566;Město Červený Kostelec;Náchod
00261220;Město Česká Kamenice;Děčín
00260428;Město Česká Lípa;Česká Lípa
00272591;Město Česká Skalice;Náchod
00278653;Město Česká Třebová;Ústí nad Orlicí
00246433;Město České Velenice;Jindřichův Hradec
00235334;Město Český Brod;Kolín
00262722;Město Český Dub;Liberec
00245836;Město Český Krumlov;Český Krumlov
00297437;Město Český Těšín;Karviná
00246476;Město Dačice;Jindřichův Hradec
00273481;Město Dašice;Pardubice
00262307;Město Desná;Jablonec nad Nisou
00246506;Město Deštná;Jindřichův Hradec
00237663;Město Dobrovice;Mladá Boleslav
00274879;Město Dobruška;Rychnov nad Kněžnou
