qcode,lau2
Q633193,504441
Q151454,550299
Q1411700,552909
Q128776,553964
Q2096591,578509
Q655592,589659
Q1628630,597350
Q338266,550922
Q501965,551937
Q137610,559920
Q2182612,565440
Q432216,590193
Q2696889,513202
Q1234231,538434
Q536906,552097
Q191097,560715
Q393981,565954
Q1385642,578223
Q1282197,589578
Q654839,598275
Q2191563,542512
Q1935493,550485
Q1901456,553085
Q1776676,557897
Q1818257,560561
Q1663068,577685
Q393516,595179
Q1268383,509141
Q762900,536032
Q528514,538001
Q2085708,541389
Q1265269,562815
Q2637506,589730
Q954569,592889
Q893486,534684
Q2301557,538876
Q329960,546178
Q1019558,546631
Q1683145,554189
Q1017806,560570
Q542224,564044
Q2167822,570923
Q2002892,594571
Q1236210,595535
Q959574,559997
Q1018857,570508
Q2002340,534013
Q1822500,550361
Q1021059,569267
Q520730,573141
Q1559255,592480
Q1641793,594202
Q829723,545414
Q1984044,546160
Q1727398,547166
Q2276084,558311
Q2395486,568503
Q2199741,534579
Q2097168,539538
Q2656553,542610
Q1977388,553140
Q2511069,572462
Q1947235,586391
Q126585,587176
Q1091914,588016
Q246232,588083
Q393493,500011
Q2626515,532606
Q164462,569640
Q338609,579998
Q372384,536253
Q761464,554898
Q883250,561711
Q1824268,569071
Q2521263,574805
Q1484749,589594
Q1017261,560600
Q763147,570940
Q1762083,573272
Q2702131,576280
Q126533,590380
Q339455,593893
Q804995,595217
Q539683,535958
Q681612,553662
Q2353675,554197
Q1934144,567701
Q2353575,569127
Q1495457,571555
Q2211894,538451
Q947943,542393
Q264897,553689
Q1233675,559776
Q1376121,586749
Q611193,507717
Q924280,512800
Q430169,536806
Q159759,569691
Q1756917,573493
Q1788542,594270
Q2271673,512991
Q2211305,533971
Q2068697,538710
Q925521,544884
Q2520909,547905
Q2334309,559814
Q1018854,599107
Q2183717,532720
Q2538397,563927
Q1866705,567248
Q386931,530786
Q1797663,574171
Q94520,596710
Q1782200,505668
Q2537802,513113
Q614356,535117
Q2035015,537845
Q580530,551104
Q2426235,568562
Q168900,584223
Q1789738,589110
Q126564,591998
Q1404471,562190
Q1789618,588661
Q1628717,597368
Q2352045,508128
Q1021896,533238
Q2436042,557463
Q1628724,562785
Q1406706,563498
Q2435481,572012
Q1676163,579751
Q1233491,589438
Q1551174,501841
Q1997494,539732
Q1661187,550086
Q1001600,555631
Q279623,562700
Q655246,533025
Q2520888,548308
Q896409,555045
Q516822,556882
Q1068637,563081
Q894103,598780
Q1017769,536326
Q2115295,579769
Q1783085,515329
Q2003139,546925
Q2351861,547972
Q923981,550582
Q1516404,570907
Q2042452,587567
Q1272658,597252
Q2294056,536431
Q601480,561932
Q2704938,564087
Q2493270,566047
Q2181644,572861
Q1822517,574180
Q783537,580210
Q615608,507733
Q341345,529541
Q2330769,530051
Q950804,530450
Q338719,550949
Q2493559,557722
Q1689561,560413
Q2467698,566420
Q1435327,571997
Q1150268,574252
Q1924250,575992
Q1872547,586340
Q2398550,513270
Q1019669,553301
Q2520114,568694
Q218535,590941
Q1932183,534129
Q1369160,540978
Q2524113,559750
Q1021090,561495
Q2140689,577405
Q1823216,535001
Q144172,536482
Q687714,536521
Q384633,543021
Q2016681,570516
Q128754,590479
Q392523,594890
Q1628760,546364
Q367563,560332
Q1992417,569917
Q2702196,572918
Q246792,591521
Q246735,591785
Q2386457,531499
Q2097193,536300
Q788086,538108
Q2703854,541052
Q2023412,545660
Q2103251,553565
Q2242131,556386
Q285145,562823
Q2482909,590843
Q2161944,561550
Q2035047,572349
Q1545622,573388
Q246739,591629
Q2700537,594300
Q2208558,535397
Q883223,542318
Q1422608,545813
Q1000097,554600
Q1694303,561231
Q2067287,565491
Q2224055,569879
Q1867828,570303
Q1943228,583405
Q159747,551589
Q265608,562360
Q1628632,577120
Q1008603,584584
Q165981,591335
Q1818190,599131
Q587442,506494
Q1805681,534986
Q1019484,540684
Q1870055,544973
Q1236872,545279
Q2684713,548961
Q144932,553646
Q1626280,564079
Q169137,564541
Q2001462,578592
Q93480,597121
Q1021097,513733
Q1391005,562271
Q952212,580627
Q1885049,589691
Q1782712,515477
Q2427119,535630
Q168350,548171
Q782512,550256
Q386920,554103
Q1025109,569046
Q2024658,590011
Q1942869,591173
Q2696205,533475
Q1861166,568147
Q944367,569348
Q2463374,570761
Q2350796,573876
Q1726342,583235
Q393424,586790
Q1447690,589721
Q218518,590835
Q2427105,592510
Q94573,597040
Q2034545,531618
Q1090530,537594
Q1844352,545074
Q2538204,553450
Q909352,568864
Q1360608,570397
Q2280821,570541
Q772784,576841
Q2022144,578142
Q1329103,582450
Q899887,582883
Q148299,584207
Q1023857,584673
Q636067,586030
Q2389130,586633
Q341801,592137
Q1416587,595586
Q2353719,597945
Q2698070,598330
Q2427141,507920
Q1689277,546011
Q773990,550272
Q2285681,559032
Q1847295,568244
Q2700141,570257
Q2349843,572250
Q1023865,584568
Q577282,587532
Q1236116,595519
Q1782693,518026
Q581615,532428
Q2126747,533602
Q2187626,534641
Q2528795,534650
Q2694738,539406
Q996984,545678
Q1474902,552330
Q524602,554936
Q2702679,559504
Q647921,560294
Q1290562,562319
Q146356,562971
Q2696915,565784
Q2500110,544442
Q165992,550507
Q786762,555185
Q1075407,557773
Q1741423,560464
Q890740,561428
Q181746,561568
Q164491,561797
Q2065601,565458
Q1445866,565610
Q41202,565628
Q2702589,566217
Q1019831,566624
Q2268264,566918
Q683573,568813
Q341566,569933
Q1662331,570567
Q2512076,571032
Q341053,573990
Q1228928,576271
Q2520726,578100
Q1259470,585190
Q321778,586021
Q284374,588199
Q1865098,588695
Q1948234,588768
Q1968788,590185
Q2328819,594555
Q390917,594865
Q2636206,598500
Q928914,599603
Q1790498,530808
Q2253719,531685
Q1641699,532576
Q2502845,534081
Q1686182,536288
Q2064011,537811
Q341684,544531
Q1207470,546143
Q999950,548090
Q2264335,549282
Q2391073,550035
Q249755,550116
Q341607,550167
Q1638949,550230
Q1887182,552593
Q2424530,553417
Q769403,560219
Q331463,561240
Q2486321,561525
Q2669155,563170
Q531538,565156
Q1744197,567604
Q579827,569437
Q1823515,569461
Q1689740,573001
Q246610,574651
Q1756046,581861
Q1283694,583740
Q2108701,589292
Q246203,591815
Q1785890,593184
Q1632617,594148
Q72370,595861
Q72399,595900
Q94511,596957
Q207271,598666
Q168273,599697
Q2652934,599727
Q952661,506711
Q935451,507423
Q1913402,532533
Q1088195,536920
Q2377065,539520
Q1626897,540668
Q683901,546038
Q1280738,547981
Q2394591,548421
Q2359960,552453
Q1371489,553000
Q1075701,553743
Q2006359,554014
Q2572156,559563
Q1740957,561304
Q1715008,563242
Q704033,564095
Q703151,564109
Q2003245,565342
Q812790,566756
Q903396,567060
Q583578,569178
Q1648657,570711
