"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","obec_ul","ob_ul_cor","sm_rozsah","sm_typ","kodobce_h","domin_cobc","porcobec_o"
"CS","CISOB",43,"500011","Želechovice nad Dřevnicí","Želechovice nad Dřevnicí","2009-01-01","9999-09-09","ano","ne",,,"195901","195901",88
"CS","CISOB",43,"500020","Petrov nad Desnou","Petrov nad Desnou","2010-01-01","9999-09-09","ne","ne",,,"119792","119792",50
"CS","CISOB",43,"500046","Libhošť","Libhošť","2011-01-01","9999-09-09","ne","ne",,,"082686","082686",23
"CS","CISOB",43,"500062","Krhová","Krhová","2013-01-01","9999-09-09","ano","ne",,,"176508","176508",20
"CS","CISOB",43,"500071","Poličná","Poličná","2013-01-01","9999-09-09","ne","ne",,,"125458","125458",36
"CS","CISOB",43,"500101","Bražec","Bražec","2016-01-01","9999-09-09","ne","ne",,,"317934","317934",7
"CS","CISOB",43,"500127","Doupovské Hradiště","Doupovské Hradiště","2016-01-01","9999-09-09","ne","ne",,,"317942","317942",13
"CS","CISOB",43,"500135","Kozlov","Kozlov","2016-01-01","9999-09-09","ne","ne",,,"320676","320676",36
"CS","CISOB",43,"500151","Luboměř pod Strážnou","Luboměř pod Strážnou","2016-01-01","9999-09-09","ne","ne",,,"320684","320684",48
"CS","CISOB",43,"500160","Město Libavá","Město Libavá","2016-01-01","9999-09-09","ano","ne",,,"093424","093424",55
"CS","CISOB",43,"500194","Polná na Šumavě","Polná na Šumavě","2016-01-01","9999-09-09","ne","ne",,,"330469","330469",31
"CS","CISOB",43,"500259","Veřovice","Veřovice","2001-03-01","9999-09-09","ne","ne",,,"180360","180360",49
"CS","CISOB",43,"500291","Vřesina","Vřesina","2001-03-01","9999-09-09","ano","ne",,,"186686","186686",12
"CS","CISOB",43,"500496","Olomouc","Olomouc","2001-03-01","9999-09-09","ano","ano",,,"110507","110507",66
"CS","CISOB",43,"500526","Bělkovice-Lašťany","Bělkovice-Lašťany","2001-03-01","9999-09-09","ne","ne",,,"001970","001970",2
"CS","CISOB",43,"500623","Bílá Lhota","Bílá Lhota","2001-03-01","9999-09-09","ne","ne",,,"003956","003956",3
"CS","CISOB",43,"500801","Blatec","Blatec","2001-03-01","9999-09-09","ne","ne",,,"005207","005207",5
"CS","CISOB",43,"500852","Bohuňovice","Bohuňovice","2001-03-01","9999-09-09","ano","ne",,,"006432","006432",6
"CS","CISOB",43,"500861","Bouzov","Bouzov","2001-03-01","9999-09-09","ne","ne",,,"008699","008699",7
"CS","CISOB",43,"500879","Bystročice","Bystročice","2001-03-01","9999-09-09","ne","ne",,,"016675","016675",9
"CS","CISOB",43,"501476","Dlouhá Loučka","Dlouhá Loučka","2001-03-01","9999-09-09","ano","ne",,,"026441","026441",13
"CS","CISOB",43,"501646","Dolany","Dolany","2001-03-01","9999-09-09","ne","ne",,,"028461","028461",14
"CS","CISOB",43,"501751","Drahanovice","Drahanovice","2001-03-01","9999-09-09","ne","ne",,,"031470","031470",18
"CS","CISOB",43,"501794","Dub nad Moravou","Dub nad Moravou","2001-03-01","9999-09-09","ano","ne",,,"033278","033278",19
"CS","CISOB",43,"501841","Grygov","Grygov","2001-03-01","9999-09-09","ano","ne",,,"036269","036269",21
"CS","CISOB",43,"502146","Hlubočky","Hlubočky","2001-03-01","9999-09-09","ano","ne",,,"039527","039527",24
"CS","CISOB",43,"502235","Hněvotín","Hněvotín","2001-03-01","9999-09-09","ne","ne",,,"040151","040151",26
"CS","CISOB",43,"502405","Hnojice","Hnojice","2001-03-01","9999-09-09","ne","ne",,,"040169","040169",27
"CS","CISOB",43,"502545","Horka nad Moravou","Horka nad Moravou","2001-03-01","9999-09-09","ano","ano",,,"042064","042064",28
"CS","CISOB",43,"502839","Cholina","Cholina","2001-03-01","9999-09-09","ne","ne",,,"052353","052353",33
"CS","CISOB",43,"503142","Jívová","Jívová","2001-03-01","9999-09-09","ne","ne",,,"061409","061409",34
"CS","CISOB",43,"503304","Kožušany-Tážaly","Kožušany-Tážaly","2001-03-01","9999-09-09","ne","ne",,,"072109","072109",37
"CS","CISOB",43,"503410","Žitovlice","Žitovlice","2001-03-01","9999-09-09","ne","ne",,,"197289","197289",87
"CS","CISOB",43,"503444","Litovel","Litovel","2001-03-01","9999-09-09","ano","ano",,,"085901","085901",44
"CS","CISOB",43,"503622","Luká","Luká","2001-03-01","9999-09-09","ne","ne",,,"088684","088684",49
"CS","CISOB",43,"503657","Lutín","Lutín","2001-03-01","9999-09-09","ano","ne",,,"089125","089125",50
"CS","CISOB",43,"503738","Majetín","Majetín","2001-03-01","9999-09-09","ano","ne",,,"089923","089923",52
"CS","CISOB",43,"503916","Kostelec","Kostelec","2001-03-01","9999-09-09","ano","ne",,,"070092","070092",21
"CS","CISOB",43,"503941","Libavá","Libavá","2001-03-01","9999-09-09","ne","ne",,,"390259","390259",40
"CS","CISOB",43,"504246","Mladeč","Mladeč","2001-03-01","9999-09-09","ne","ne",,,"096857","096857",56
"CS","CISOB",43,"504301","Dřenice","Dřenice","2001-03-01","9999-09-09","ne","ne",,,"032832","032832",14
"CS","CISOB",43,"504441","Náklo","Náklo","2001-03-01","9999-09-09","ne","ne",,,"101401","101401",61
"CS","CISOB",43,"504505","Náměšť na Hané","Náměšť na Hané","2001-03-01","9999-09-09","ano","ne",,,"101541","101541",62
"CS","CISOB",43,"504785","Paseka","Paseka","2001-03-01","9999-09-09","ne","ne",,,"118168","118168",67
"CS","CISOB",43,"504807","Lány","Lány","2001-03-01","9999-09-09","ne","ne",,,"016586","016586",42
"CS","CISOB",43,"504921","Třibřichy","Třibřichy","2001-03-01","9999-09-09","ne","ne",,,"032859","032859",90
"CS","CISOB",43,"504955","Dvakačovice","Dvakačovice","2001-03-01","9999-09-09","ne","ne",,,"177610","177610",15
"CS","CISOB",43,"505005","Bítovany","Bítovany","2001-03-01","9999-09-09","ne","ne",,,"004898","004898",3
"CS","CISOB",43,"505013","Příkazy","Příkazy","2001-03-01","9999-09-09","ne","ne",,,"136000","136000",70
"CS","CISOB",43,"505030","Dolní Bezděkov","Dolní Bezděkov","2001-03-01","9999-09-09","ne","ne",,,"028690","028690",13
"CS","CISOB",43,"505081","Senice na Hané","Senice na Hané","2001-03-01","9999-09-09","ano","ne",,,"147451","147451",73
"CS","CISOB",43,"505099","Červená Hora","Červená Hora","2001-03-01","9999-09-09","ne","ne",,,"196568","196568",10
"CS","CISOB",43,"505111","Slatinice","Slatinice","2001-03-01","9999-09-09","ne","ne",,,"149811","149811",76
"CS","CISOB",43,"505145","Březová nad Svitavou","Březová nad Svitavou","2001-03-01","9999-09-09","ano","ne",,,"014729","014729",15
"CS","CISOB",43,"505161","Štěpánov","Štěpánov","2001-03-01","9999-09-09","ano","ano",,,"163431","163431",83
"CS","CISOB",43,"505188","Šternberk","Šternberk","2001-03-01","9999-09-09","ano","ano",,,"163520","163520",84
"CS","CISOB",43,"505218","Šumvald","Šumvald","2001-03-01","9999-09-09","ne","ne",,,"164518","164518",85
"CS","CISOB",43,"505269","Těšetice","Těšetice","2001-03-01","9999-09-09","ne","ne",,,"166707","166707",86
"CS","CISOB",43,"505293","Troubelice","Troubelice","2001-03-01","9999-09-09","ne","ne",,,"168661","168661",88
"CS","CISOB",43,"505366","Tršice","Tršice","2001-03-01","9999-09-09","ne","ne",,,"168874","168874",89
"CS","CISOB",43,"505391","Bělá u Jevíčka","Bělá u Jevíčka","2001-03-01","9999-09-09","ne","ne",,,"001791","001791",3
"CS","CISOB",43,"505501","Újezd","Újezd","2001-03-01","9999-09-09","ne","ne",,,"173754","173754",90
"CS","CISOB",43,"505528","Jenčice","Jenčice","2001-03-01","9999-09-09","ne","ne",,,"058254","058254",33
"CS","CISOB",43,"505587","Uničov","Uničov","2001-03-01","9999-09-09","ano","ne",,,"174505","174505",91
"CS","CISOB",43,"505609","Velká Bystřice","Velká Bystřice","2001-03-01","9999-09-09","ano","ne",,,"178284","178284",93
"CS","CISOB",43,"505650","Velký Týnec","Velký Týnec","2001-03-01","9999-09-09","ano","ne",,,"179787","179787",94
"CS","CISOB",43,"505668","Velký Újezd","Velký Újezd","2001-03-01","9999-09-09","ano","ne",,,"179795","179795",95
"CS","CISOB",43,"505781","Zápy","Zápy","2001-03-01","9999-09-09","ano","ne",,,"009229","009229",104
"CS","CISOB",43,"505862","Žerotín","Žerotín","2001-03-01","9999-09-09","ne","ne",,,"196622","196622",99
"CS","CISOB",43,"505927","Opava","Opava","2001-03-01","9999-09-09","ano","ano","1","1","111562","111562",48
"CS","CISOB",43,"506192","Bohuslavice","Bohuslavice","2001-03-01","9999-09-09","ano","ne",,,"006521","006521",2
"CS","CISOB",43,"506214","Bolatice","Bolatice","2001-03-01","9999-09-09","ano","ano",,,"006980","006980",3
"CS","CISOB",43,"506320","Brumovice","Brumovice","2001-03-01","9999-09-09","ano","ano",,,"013102","013102",6
"CS","CISOB",43,"506451","Březová","Březová","2001-03-01","9999-09-09","ne","ne",,,"014711","014711",7
"CS","CISOB",43,"506460","Budišov nad Budišovkou","Budišov nad Budišovkou","2001-03-01","9999-09-09","ano","ne",,,"015504","015504",8
"CS","CISOB",43,"506486","Boží Dar","Boží Dar","2001-03-01","9999-09-09","ne","ne",,,"008869","008869",5
"CS","CISOB",43,"506494","Nové Hamry","Nové Hamry","2001-03-01","9999-09-09","ne","ne",,,"106160","106160",32
"CS","CISOB",43,"506621","Čichalov","Čichalov","2001-03-01","9999-09-09","ne","ne",,,"023728","023728",10
"CS","CISOB",43,"506664","Skořice","Skořice","2001-03-01","9999-09-09","ne","ne",,,"148547","148547",51
"CS","CISOB",43,"506699","Otmarov","Otmarov","2001-03-01","9999-09-09","ne","ne",,,"138941","138941",100
"CS","CISOB",43,"506702","Dolní Benešov","Dolní Benešov","2001-03-01","9999-09-09","ano","ne",,,"028631","028631",14
"CS","CISOB",43,"506711","Dolní Lhota","Dolní Lhota","2001-03-01","9999-09-09","ano","ne",,,"029548","029548",2
"CS","CISOB",43,"506729","Dvorce","Dvorce","2001-03-01","9999-09-09","ne","ne",,,"017418","017418",23
"CS","CISOB",43,"506737","Chvalčov","Chvalčov","2001-03-01","9999-09-09","ano","ne",,,"054895","054895",17
"CS","CISOB",43,"506753","Háj ve Slezsku","Háj ve Slezsku","2001-03-01","9999-09-09","ano","ne",,,"036498","036498",16
"CS","CISOB",43,"506761","Alojzov","Alojzov","2001-03-01","9999-09-09","ne","ne",,,"174700","174700",1
